_fsep_query_state|brief_desc|contact_name|directory_name|directory_type|distance|listing_desc|listing_id|listing_image|listing_name|location_address|location_city|location_state|location_street|location_x|location_y|location_zipcode|media_blog|media_facebook|media_instagram|media_pinterest|media_twitter|media_website|media_youtube|mydesc|term|updatetime
AL|||agritourism business|agritourism|1000||1171|default-agritourism-4-3.jpg|Backyard Orchards|585 Northeast Hwy 431, Eufaula, AL 36027|Eufaula|Alabama||-85.1456770910882|31.8991861378102|36027||http:///https://www.facebook.com/pages/backyard-orchards||||||||Feb 12th, 2024
AL|||agritourism business|agritourism|1000||1231|default-agritourism-4-3.jpg|Bixler Farms|358 County Road 204, Dawson, AL 35963|Dawson|Alabama||-85.9231509668395|34.3193029865247|35963||http://www.facebook.com/bixler farms||||||||Feb 12th, 2024
AL|||agritourism business|agritourism|1000||1239|default-agritourism-4-3.jpg|Buckhorn Haunted Hayride|187 Angel Lake Rd, Weaver, AL 36277|Weaver|Alabama||-85.8177502538319|33.7769608927857|36277||http://www.facebook.com/buckhornhauntedtrail||||||||Feb 12th, 2024
AL|||agritourism business|agritourism|1000||1360|default-agritourism-4-3.jpg|Old Baker Farm|1041 Farmingdale Rd, Harpersville, AL 35078|Harpersville|Alabama||-86.4576179936796|33.3326449819527|35078||http://www.facebook.com/l.php?u=http://oldbakerfarm.com/&h=974be||||||||Feb 12th, 2024
AL|||agritourism business|agritourism|1000||1469|default-agritourism-4-3.jpg|Dream Field Farms|6376 Highway 82, Union Springs, AL, 36089|Union Springs|Alabama||-85.8687434269188|32.1039744880693|36089||http://www.facebook.com/pages/dream-field-farms-inc/28568791226?ref=hnav||||||||Feb 12th, 2024
AL|||agritourism business|agritourism|1000||1625|default-agritourism-4-3.jpg|The Trails at Tannehill|6707 Eastern Valley Road, , AL 35111|Mc Calla|Alabama||-87.0613457278948|33.2737114827384|35111||http://www.facebook.com/pages/the-trails-at-tannehill/276005869079325||||||||Feb 12th, 2024
AL|||agritourism business|agritourism|1000||1635|default-agritourism-4-3.jpg|Tuscaloosa Barnyard|453 Turner Bridge Road, Tuscaloosa, AL 35406|Tuscaloosa|Alabama||-87.481556925225|33.3800847178206|35406||http://www.facebook.com/pages/tuscaloosa-barnyard/77491817567||||||||Feb 12th, 2024
AL|||agritourism business|agritourism|1000||1804|default-agritourism-4-3.jpg|Lang's u-pick Blueberries|727 Bel Aire Estates, Coker, AL 35452|Coker|Alabama||-87.684592773158|33.2624361916958|35452||https://facebook.com/langsblueberryfarm||||||||Feb 12th, 2024
AL|||agritourism business|agritourism|1000||1860|default-agritourism-4-3.jpg|4D Farm|7182 County Road 703, Cullman, AL 35055|Cullman|Alabama||-86.7076719583514|34.1278119963258|35055||https://www.facebook.com/4dfarm||||||||Feb 12th, 2024
AL|||agritourism business|agritourism|1000||1901|default-agritourism-4-3.jpg|Tom's Bees|464a Pratt Thomas Road, Marion, AL  36756|Marion|Alabama||-87.3901369922748|32.7824419796385|36756||https://www.facebook.com/alabamabees||||http://www.tomsbees.com||||Feb 12th, 2024
