_fsep_query_state|brief_desc|contact_name|directory_name|directory_type|distance|listing_desc|listing_id|listing_image|listing_name|location_address|location_city|location_state|location_street|location_x|location_y|location_zipcode|media_blog|media_facebook|media_instagram|media_pinterest|media_twitter|media_website|media_youtube|mydesc|term|updatetime
AL|Open: Year-round<br>Available Products: Honey;Mushrooms;|Kaitlin Duncan|csa enterprise|csa|1000||200846|default-csa-4-3.jpg|Duncan Farms, LLC|1259 Salty Bottom Rd, Gurley, Alabama 35748|Gurley|Alabama|1259 Salty Bottom Rd|-86.3963034|34.7513679|35748||facebook.com/huntsvillefarm||||huntsvillefarm.com||Open: Year-round<br>Available Products: Honey; Mushrooms; ||Nov 30th, 2019
AL|Available Products: Cherries (sweet, tart, etc.);Peaches (yellow, white, etc.);Pears;Plums (black, green, red, etc.);Arugula;Spinach: baby, regular;Sweet potatoes;Turnip greens;Chicken;Cornish game hens;Goose;Quail;Turkey;Muscovy;Beef/veal (sausage);Bison (ground);Bison (steaks, roasts);Goat;Lamb (chops, roasts);Lamb (sausage);Pork (bacon);Pork (ham);Cherries (sweet, tart, etc.);Peaches (yellow, white, etc.);Pears;Plums (black, green, red, etc.);;Arugula;Spinach: baby, regular;Sweet potatoes;Turnip greens;;Baked goods: breads, pies, etc.;Canned or preserved fruits/vegetables: jams, jellies, preserves, salsas, pickles, dried fruit, etc.;Cut flowers;Eggs;Fresh and/or dried herbs;Grains and/or flour;Pet food;MuscovyChicken;Cornish game hens;Goose;Quail;Turkey;Muscovy;;Beef/veal (sausage);Bison (ground);Bison (steaks, roasts);Goat;Lamb (chops, roasts);Lamb (sausage);Pork (bacon);Pork (ham);;Soap and/or body care products;Natural craft items - gourds, feathers, angora fiber, fur (from meat rabbits, using whole animal);|Jan Hoadley|csa enterprise|csa|1000||200004|default-csa-4-3.jpg|SlowMoneyFarm|180 3rd street, Nauvoo, Alabama 35578|Nauvoo|Alabama|180 Third St|-87.4869118|33.9891202|35578|http://slowmoneyfood.wordpress.com/|https://www.facebook.com/SlowMoneyFarm|||https://twitter.com/SlowMoneyFarm|http://www.slowmoneyfarm.com/||Available Products: Cherries (sweet, tart, etc.); Peaches (yellow, white, etc.); Pears; Plums (black, green, red, ...||Sep 29th, 2014
AL|Open: April to September<br>Available Products: Currants;Kiwi;Peaches (yellow, white, etc.);Arugula;Beans, other (lima, etc.);Bok Choy;Broccoli;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Kale;Kohlrabi;Mixed leafy greens;Mustard Greens;Okra;Peas;Peppers, hot;Potatoes (new, red, russet, etc.);Pumpkin;Radishes;Rhubarb;Spinach: baby, regular;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatoes (plum, round, etc.);Turnip greens;Turnips;Currants;Kiwi;Peaches (yellow, white, etc.);;Arugula;Beans, other (lima, etc.);Bok Choy;Broccoli;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Kale;Kohlrabi;Mixed leafy greens;Mustard Greens;Okra;Peas;Peppers, hot;Potatoes (new, red, russet, etc.);Pumpkin;Radishes;Rhubarb;Spinach: baby, regular;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatoes (plum, round, etc.);Turnip greens;Turnips;;Dairy products: milk, cheese, etc.;Eggs;Honey;Soap and/or body care products;|Matthew Fagan|csa enterprise|csa|1000||200005|default-csa-4-3.jpg|The Fagan Funny Farm, LLC|, Equality, Alabama|Equality|Alabama||-86.1016899|32.7619984|||https://www.facebook.com/pages/The-Fagan-Funny-Farm-LLC/221496991230335||||||Open: April to September<br>Available Products: Currants; Kiwi; Peaches (yellow, white, etc.); Arugula; Beans, other (lima, ...||Sep 29th, 2014
AK|Open: June to September<br>Available Products: Arugula;Beans, other (lima, etc.);Broccoli;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Collard Greens;Corn (sweet);Cucumbers;Eggplant (Italian, Japanese, etc.);Endives;Garlic;Green beans;Kale;Kohlrabi;Lettuce (head, leaf, etc.);Mixed leafy greens;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Peanuts;Peas;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Shallots;Soybeans;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Arugula;Beans, other (lima, etc.);Broccoli;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Collard Greens;Corn (sweet);Cucumbers;Eggplant (Italian, Japanese, etc.);Endives;Garlic;Green beans;Kale;Kohlrabi;Lettuce (head, leaf, etc.);Mixed leafy greens;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Peanuts;Peas;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Shallots;Soybeans;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;;Fresh and/or dried herbs;|Pete and Lynn Mayo|csa enterprise|csa|1000||200003|default-csa-4-3.jpg|Spinach Creek Farm|5181 Murphy Dome Road, Fairbanks, Alaska 99709|Fairbanks|Alaska|5181 Murphy Dome Rd|-148.17984|64.90857|99709||||||http://www.alaskacommunityag.org/content/spinach-creek-farm||Open: June to September<br>Available Products: Arugula; Beans, other (lima, etc.); Broccoli; Broccolini/baby broccoli; Cabbage; Carrots; ...||Aug 25th, 2014
AK|Open: June to September<br>Available Products: Beans, other (lima, etc.);Beets;Cabbage;Carrots;Cauliflower;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Garlic;Kale;Kohlrabi;Mixed leafy greens;Mizuna;Okra;Peanuts;Peas;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Shallots;Squash, summer: zucchini, etc.;Tomatoes (cherry, grape, etc.);Beans, other (lima, etc.);Beets;Cabbage;Carrots;Cauliflower;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Garlic;Kale;Kohlrabi;Mixed leafy greens;Mizuna;Okra;Peanuts;Peas;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Shallots;Squash, summer: zucchini, etc.;Tomatoes (cherry, grape, etc.);;Cut flowers;Fresh and/or dried herbs;|Susan Willsrud|csa enterprise|csa|1000||200002|default-csa-4-3.jpg|Calypso Farm and Ecology Center|4780 Old Nenana Hwy, Ester, Alaska 99709|Ester|Alaska|4780 Old Nenana Hwy|-148.1341569|64.8404709|99709||https://www.facebook.com/pages/Calypso-Farm-and-Ecology-Center/73416046977||||http://calypsofarm.org/||Open: June to September<br>Available Products: Beans, other (lima, etc.); Beets; Cabbage; Carrots; Cauliflower; Collard Greens; ...||Aug 26th, 2014
AK|Open: May to October<br>Available Products: Tuna;blackcod, lingcod, rockfish, halibut;blackcod, lingcod, rockfish, halibutTuna;blackcod, lingcod, rockfish, halibut;;|Erin Fulton|csa enterprise|csa|1000||200000|default-csa-4-3.jpg|Alaskans Own Seafood|834 Lincoln St. Rm 23, Sitka, Alaska 99835|Sitka|Alaska|834 Lincoln St|-135.3233014|57.0498164|99835||https://www.facebook.com/AlaskansOwn||||http://thealaskatrust.org/alaskans-own.php||Open: May to October<br>Available Products: Tuna; blackcod, lingcod, rockfish, halibut; blackcod, lingcod, rockfish, halibutTuna; blackcod, ...||Jul 29th, 2014
AK|Open: June to September<br>Available Products: Arugula;Beans, other (lima, etc.);Beets;Brussels sprouts;Carrots;Cauliflower;Collard Greens;Corn (sweet);Cucumbers;Eggplant (Italian, Japanese, etc.);Endives;Garlic;Green beans;Kale;Kohlrabi;Lettuce (head, leaf, etc.);Mache/lamb’s lettuce;Mixed leafy greens;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Parsnips;Peas;Peppers, hot;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Shallots;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Turnips;Arugula;Beans, other (lima, etc.);Beets;Brussels sprouts;Carrots;Cauliflower;Collard Greens;Corn (sweet);Cucumbers;Eggplant (Italian, Japanese, etc.);Endives;Garlic;Green beans;Kale;Kohlrabi;Lettuce (head, leaf, etc.);Mache/lamb’s lettuce;Mixed leafy greens;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Parsnips;Peas;Peppers, hot;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Shallots;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Turnips;;|Sarah and River Bean|csa enterprise|csa|1000||200001|default-csa-4-3.jpg|Arctic Organics|1305 North Smith Rd, Palmer, Alaska 99645|Palmer|Alaska|1305 Smith Rd|-149.0253064|61.5931024|99645||https://www.facebook.com/ArcticOrganics||||http://www.arcticorganics.com/||Open: June to September<br>Available Products: Arugula; Beans, other (lima, etc.); Beets; Brussels sprouts; Carrots; Cauliflower; ...||Jul 30th, 2014
AZ|Open: March to November<br>Available Products: Artichoke;Arugula;Beets;Bok Choy;Broccoli;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Collard Greens;Cucumbers;Garlic;Green beans;Kale;Kohlrabi;Leeks;Mixed leafy greens;Mustard Greens;Okra;Peanuts;Peas;Peppers, hot;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Radishes;Rhubarb;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnips;Artichoke;Arugula;Beets;Bok Choy;Broccoli;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Collard Greens;Cucumbers;Garlic;Green beans;Kale;Kohlrabi;Leeks;Mixed leafy greens;Mustard Greens;Okra;Peanuts;Peas;Peppers, hot;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Radishes;Rhubarb;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnips;;Cut flowers;|Sylvia Graham|csa enterprise|csa|1000||200791|default-csa-4-3.jpg|Echoing Hope Ranch|8344 S Hereford Rd, , Hereford, Arizona 85615|Hereford|Arizona|8344 S Hereford Rd|-110.0936296|31.4178209|85615||||||http://echoinghoperanch.org/ehr-home/services/what-is-a-csa/||Open: March to November<br>Available Products: Artichoke; Arugula; Beets; Bok Choy; Broccoli; Broccolini/baby broccoli; Cabbage; Carrots; ...||Apr 26th, 2018
AZ|Open: May to October<br>Available Products: Apricots;Figs;Plums (black, green, red, etc.);Artichoke;Arugula;Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccoli rabe;Broccolini/baby broccoli;Carrots;Cauliflower;Celery;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Endives;Garlic;Green beans;Kale;Kohlrabi;Leeks;Lettuce (head, leaf, etc.);Mache/lamb’s lettuce;Mixed leafy greens;Mizuna;Mustard Greens;Okra;Parsnips;Peanuts;Peas;Peppers, hot;Peppers, sweet;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Rhubarb;Rutabaga;Soybeans;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;Apricots;Figs;Plums (black, green, red, etc.);;Artichoke;Arugula;Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccoli rabe;Broccolini/baby broccoli;Carrots;Cauliflower;Celery;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Endives;Garlic;Green beans;Kale;Kohlrabi;Leeks;Lettuce (head, leaf, etc.);Mache/lamb’s lettuce;Mixed leafy greens;Mizuna;Mustard Greens;Okra;Parsnips;Peanuts;Peas;Peppers, hot;Peppers, sweet;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Rhubarb;Rutabaga;Soybeans;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;;Cut flowers;Dry beans;Eggs;Fresh and/or dried herbs;|Shanti Rade|csa enterprise|csa|1000||200435|default-csa-4-3.jpg|Whipstone Farm|21640 N. Juniper Ridge Rd., Paulden, Arizona 86334|Paulden|Arizona|21640 Juniper Ridge Rd|-112.4943367|34.858361|86334||https://www.facebook.com/whipstonefarm|||https://twitter.com/whipstonefarm|www.whipstone.com||Open: May to October<br>Available Products: Apricots; Figs; Plums (black, green, red, etc.); Artichoke; Arugula; Beans, ...||Aug 12th, 2014
AZ|Open: Year-round<br>Available Products: Artichoke;Arugula;Beets;Broccoli;Cabbage;Carrots;Collard Greens;Garlic;Kohlrabi;Mixed leafy greens;Mustard Greens;Okra;Peanuts;Peppers, hot;Radicchio;Rhubarb;Rutabaga;Shallots;Spinach: baby, regular;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (plum, round, etc.);Turnip greens;Herbs of all sorts!;Herbs of all sorts!Artichoke;Arugula;Beets;Broccoli;Cabbage;Carrots;Collard Greens;Garlic;Kohlrabi;Mixed leafy greens;Mustard Greens;Okra;Peanuts;Peppers, hot;Radicchio;Rhubarb;Rutabaga;Shallots;Spinach: baby, regular;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (plum, round, etc.);Turnip greens;Herbs of all sorts!;;|Troy Albright|csa enterprise|csa|1000||200714|default-csa-4-3.jpg|True Garden|5949 E. University Dr., Mesa , Arizona 85205|Mesa|Arizona|5949 E University Dr|-111.702363|33.4223927|85205||www.facebook.com/TrueGardenAz/|||@TrueGardenAz|www.truegarden.com||Open: Year-round<br>Available Products: Artichoke; Arugula; Beets; Broccoli; Cabbage; Carrots; Collard Greens; Garlic; Kohlrabi; Mixed leafy ...||Jul 15th, 2016
