_fsep_query_state|brief_desc|contact_name|directory_name|directory_type|distance|listing_desc|listing_id|listing_image|listing_name|location_address|location_city|location_state|location_street|location_x|location_y|location_zipcode|media_blog|media_facebook|media_instagram|media_pinterest|media_twitter|media_website|media_youtube|mydesc|term|updatetime
AL|Open: April to July; October to November; <br>Available Products: Fresh fruits;Fresh vegetables;Baked goods;Bedding plants;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Eggs;Fish/seafood;Honey;Nursery stock;Prepared foods;Soap/body care products;Wild harvested forest products;|Joanie Mallet|farmers market|farmersmarket|1000||300003|default-farmersmarket-4-3.jpg|Market in The Park|300 Conti, Mobile, Alabama 36602|Mobile|Alabama|300 Conti|-88.045015|30.690350|36602||MarketsinMobile||||www.specialeventsmobile.org||||Aug 3rd, 2020
AL|Open: May to July; <br>Available Products: Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Fish/seafood;Soap/body care products;|Joanie Mallet|farmers market|farmersmarket|1000||300018|default-farmersmarket-4-3.jpg|Market in The Park - Lavretta Park|200 Parkway Street West, Mobile, Alabama 36606|Mobile|Alabama|200 Parkway Street West|-88.160082|30.691614|36606||MarketsinMobile||||www.specialeventsmobile.org||||Aug 3rd, 2020
AL|Open: June to September; <br>Available Products: Fresh fruits;Bedding plants;|TASHA BLACKERBY|farmers market|farmersmarket|1000||300191|default-farmersmarket-4-3.jpg|GLENCOE|201  W CHASTAIN BLVD. WEST, GLENCOE, Alabama 35905|GLENCOE|Alabama|201  W CHASTAIN BLVD. WEST|-85.934714|33.9578280|35905||||||||||Aug 3rd, 2020
AL|Open: June to August; <br>Available Products: Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Crafts/woodworking items;Cut flowers;Eggs;Fresh/dried herbs;Honey;Nuts;Prepared foods;Soap/body care products;|Steve Gilbert|farmers market|farmersmarket|1000||300122|default-farmersmarket-4-3.jpg|MONTEVALLO FARMERS MARKET|Middle Street and Island Street, MONTEVALLO, Alabama 35115|MONTEVALLO|Alabama|Middle Street and Island Street|-86.862926|33.099480|35115||https://www.facebook.com/montevallofarmersmarket||||||||Aug 4th, 2020
AL|Open: May to August; <br>Available Products: Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Crafts/woodworking items;Cut flowers;Eggs;Fish/seafood;Honey;Mushrooms;Poultry/fowl meat and products;Red/other non-poultry meat and products;|Renee Betz|farmers market|farmersmarket|1000||301138|default-farmersmarket-4-3.jpg|The Marketplace at Lee Branch, Lee Branch Farmers Market|611 Doug Baker Blvd, Birmingham, Alabama 35242|Birmingham|Alabama|611 Doug Baker Blvd|-86.666868|33.406440|35242||@themarketplaceatleebranch||||www.themarketplaceatleebranch.com||||Jun 20th, 2020
AL|||farmers market|farmersmarket|1000||308273|default-farmersmarket-4-3.jpg|Abbeville Farmers' Market|100 Columbia Rd., Abbeville, AL 36310|Abbeville|Alabama|100 Columbia Rd.|-85.24935015019707|31.568669395366115|36310||||||||||Mar 20th, 2023
AL|||farmers market|farmersmarket|1000||308274|default-farmersmarket-4-3.jpg|Abita Springs Farmers' Market|22049 Main St., Abita Springs, AL 70420|Abita Springs|Alabama|22049 Main St.|-90.03899626663289|30.479314194622727|70420||https://www.facebook.com/Abita-Springs-Farmers-Market-480144062040727||||||||Mar 20th, 2023
AL|||farmers market|farmersmarket|1000||308275|default-farmersmarket-4-3.jpg|Adamsville Farmers' Market|3633 Gray Ave., Adamsville, AL 35005|Adamsville|Alabama|3633 Gray Ave.|-86.93594713162886|33.58846769217967|35005||||||||||Mar 20th, 2023
AL|||farmers market|farmersmarket|1000||308276|default-farmersmarket-4-3.jpg|Alabama Farmers' Market|344 Finley Ave., West Birmingham, AL 35204|West Birmingham|Alabama|344 Finley Ave.|-86.84361022359107|33.53426252888214|35204||https://www.facebook.com/Alabama-Farmers-Market-362242395794/timeline/||||http://alabamafarmersmarket.org/||||Mar 20th, 2023
AL|||farmers market|farmersmarket|1000||308277|default-farmersmarket-4-3.jpg|Alabaster Farmers' Market|1097 7th St. SW, Alabaster, AL 35007|Alabaster|Alabama|1097 7th St. SW|-86.8265460370232|33.23211599757528|35007||||||http://cityofalabaster.com/residents/farmers-market-2015/||||Mar 20th, 2023
