_fsep_query_state|brief_desc|contact_name|directory_name|directory_type|distance|listing_desc|listing_id|listing_image|listing_name|location_address|location_city|location_state|location_street|location_x|location_y|location_zipcode|media_blog|media_facebook|media_instagram|media_pinterest|media_twitter|media_website|media_youtube|mydesc|term|updatetime
AL|Open: Year-round<br>Available Products: Fresh fruits;Fresh vegetables;Canned or preserved fruits/vegetables;Eggs;Herbs;Juices/non-alcoholic ciders;value-added products (kombuchas, krauts, etc.);|Carey Martin|food hub|foodhub|1000||500138|default-foodhub-4-3.jpg|Farm Food Collaborative / Food Bank of North Alabama|2000-B Vernon Ave., Huntsville, Alabama 35805|Huntsville|Alabama|2000 Vernon Ave SW|-86.596448|34.7236876|35805||https://www.facebook.com/foodbank146?ref_type=bookmark|||@FoodBankAL|https://www.foodbanknorthal.org/programs/ffc/||Open: Year-round<br>Available Products: Fresh fruits; Fresh vegetables; Canned or preserved fruits/vegetables; Eggs; Herbs; Juices/non-alcoholic ciders; ...||Aug 25th, 2017
AK|Open: April to November<br>Available Products: Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Cut flowers;Eggs;Fish/seafood;Herbs;Honey;Mushrooms;Pet food;Soap/body care products;|Robbi Mixon|food hub|foodhub|1000||500172|default-foodhub-4-3.jpg|Alaska Food Hub (formally known as Kenai Peninsula Food Hub)|528 E Pioneer Ave, Homer, Alaska 99603|Homer|Alaska|528 E Pioneer Ave|-151.53167|59.647893|99603||https://www.facebook.com/alaskafoodhub/||||www.alaskafoodhub.org||Open: April to November<br>Available Products: Fresh fruits; Fresh vegetables; Baked goods; Canned or preserved fruits/vegetables; ...||Apr 4th, 2018
AK|Open: May to November<br>Available Products: Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Eggs;Fish/seafood;Herbs;Green household products;Honey;Juices/non-alcoholic ciders;Mushrooms;Soap/body care products;Wild harvested forest products;Seafood and Kelp;|Colin Peacock|food hub|foodhub|1000||500157|default-foodhub-4-3.jpg|Salt & Soil Marketplace|1107 W 8TH ST STE 4, Juneau, Alaska 99801|Downtown Juneau|Alaska|1107 W 8th St|-134.42354|58.2997815|99801||https://www.facebook.com/SaltandSoilMarketplace/||||www.saltandsoilmarketplace.com||Open: May to November<br>Available Products: Fresh fruits; Fresh vegetables; Baked goods; Canned or preserved fruits/vegetables; ...||Dec 8th, 2017
AK|Open: Year-round<br>Available Products: Fresh fruits;Fresh vegetables;Eggs;Fish/seafood;Mushrooms;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Wild harvested forest products;|Terry Smith|food hub|foodhub|1000||500159|default-foodhub-4-3.jpg|Bogard Food Hub|471 East Bogard Road, Wasilla , Alaska 99654|Wasilla|Alaska|471 E Bogard Rd|-149.43957|61.5857475|99654||BogardFoodHub||||www.bogardfoodhub.com||Open: Year-round<br>Available Products: Fresh fruits; Fresh vegetables; Eggs; Fish/seafood; Mushrooms; Pet food; Poultry/fowl meat and ...||Jan 5th, 2018
AZ|Open: Year-round<br>Available Products: Fresh fruits;Fresh vegetables;Baked goods;Cut flowers;Dry beans;Eggs;Herbs;Honey;Nuts;Wild harvested forest products;|Cindy Gentry|food hub|foodhub|1000||500225|default-foodhub-4-3.jpg|Sun Produce Cooperative|4762 N. 189th Ave., Litchfield Park, Arizona 85340|Litchfield Park|Arizona|4762 N 189th Ave|-112.46681|33.5043289|85340||https://www.facebook.com/sunproducecoop||||sunproducecoop.org||Open: Year-round<br>Available Products: Fresh fruits; Fresh vegetables; Baked goods; Cut flowers; Dry beans; Eggs; Herbs; ...||Jan 26th, 2022
AZ|Open: May to October<br>Available Products: Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Honey;Wild harvested forest products;|Karalea Cox|food hub|foodhub|1000||500178|default-foodhub-4-3.jpg|Copper Communities Food Hub|1360 N Broad Street , Globe, Arizona 85501|Globe|Arizona|1360 N Broad St|-110.79538|33.4100877|85501||copper communities food hub study||||||Open: May to October<br>Available Products: Fresh fruits; Fresh vegetables; Baked goods; Canned or preserved fruits/vegetables; ...||Jun 14th, 2018
AZ|Open: Year-round<br>Available Products: Fresh fruits;Canned or preserved fruits/vegetables;Herbs;Juices/non-alcoholic ciders;Nuts;|barbara eiswerth|food hub|foodhub|1000||500069|default-foodhub-4-3.jpg|iskashitaa refugee network|, Tucson, Arizona 85719|Tucson|Arizona||-110.94470|32.2546522|85719||iskashitaa refugee network||||www.harvesttucson.org||Open: Year-round<br>Available Products: Fresh fruits; Canned or preserved fruits/vegetables; Herbs; Juices/non-alcoholic ciders; Nuts; ||Sep 27th, 2014
CA|Open: Year-round<br>Available Products: Canned or preserved fruits/vegetables;Grains/flour;Nuts;|Michael Bosworth|food hub|foodhub|1000||500054|default-foodhub-4-3.jpg|Next Generation Foods|2640 Hoffman Rd., Olivehurst, California 95961|Olivehurst|California|2640 Hoffman Rd|-121.51741|39.0154957|95961||||||www.nextgenfoods.com||Open: Year-round<br>Available Products: Canned or preserved fruits/vegetables; Grains/flour; Nuts; ||Aug 25th, 2014
CA|Open: April to October<br>Available Products: Fresh fruits;Fresh vegetables;Baked goods;Cut flowers;Dairy products;Eggs;Herbs;Honey;Mushrooms;Nuts;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;|Ray Diggins|food hub|foodhub|1000||500002|default-foodhub-4-3.jpg|Farm 2 Family's Brunswick Farmers Market|10600 Bubbling Wells Rd, Grass Valley, California 95945|Grass Valley|California|10600 Bubbling Wells Rd|-121.02649|39.2335394|95945||https://www.facebook.com/gvthursday.farmersmarket?ref=tn_tnmn||||http://www.farmfreshonline.com/||Open: April to October<br>Available Products: Fresh fruits; Fresh vegetables; Baked goods; Cut flowers; Dairy products; ...||Aug 26th, 2014
CA|Open: Year-round<br>Available Products: Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Dairy products;Dry beans;Eggs;Herbs;Grains/flour;Honey;Juices/non-alcoholic ciders;Nuts;Soap/body care products;Tofu/non-animal protein;|Heather Fenney|food hub|foodhub|1000||500144|default-foodhub-4-3.jpg|Village Market Place|6569 S. Vermont Ave., Los Angeles, California 90044|South Los Angeles|California|6569 S Vermont Ave|-118.29213|33.9793978|90044||facebook.com/csuinc|||@csuincla|www.csuinc.org||Open: Year-round<br>Available Products: Fresh fruits; Fresh vegetables; Baked goods; Canned or preserved fruits/vegetables; Coffee/tea; Dairy ...||Aug 28th, 2017
