_fsep_query_state|brief_desc|contact_name|directory_name|directory_type|distance|listing_desc|listing_id|listing_image|listing_name|location_address|location_city|location_state|location_street|location_x|location_y|location_zipcode|media_blog|media_facebook|media_instagram|media_pinterest|media_twitter|media_website|media_youtube|mydesc|term|updatetime
AL|||on-farm market|onfarmmarket|1000||700634|default-onfarmmarket-4-3.jpg|Backyard Orchards|6585 Highway 431 North, Eufaula , Alabama 36027|Eufaula|Alabama|6585 Highway 431 North|-85.140352|32.073484|36027||||||www. Backyardorchards.com||||Aug 21st, 2014
AL||Northern Lights Farm|on-farm market|onfarmmarket|1000||700879|default-onfarmmarket-4-3.jpg|Northern Lights Farm|173 Fowler Road, Empire, Alabama 35063|Empire|Alabama|173 Fowler Road|-86.999158|33.792266|35063||https://www.facebook.com/northern.farm||||http://sites.google.com/site/Nlightsfarm||||Aug 22nd, 2014
AL||Jenny Klein|on-farm market|onfarmmarket|1000||700117|default-onfarmmarket-4-3.jpg|LA Berry Farms Inc|12562 Mary Ann Beach Road, Fairhope, Alabama 36532|Fairhope|Alabama|12562 Mary Ann Beach Road|-87.850596|30.4070580|36532||https://www.facebook.com/laberryfarms||||www.weeksbayplantation.com||||Aug 26th, 2014
AL|||on-farm market|onfarmmarket|1000||700624|default-onfarmmarket-4-3.jpg|Bixler Farms|358 County Road 204, Dawson, Alabama 35963|Dawson|Alabama|358 County Road 204|-85.917537|34.33139|35963||||||||||Jul 26th, 2014
AL||Rose McCurdy|on-farm market|onfarmmarket|1000||700100|default-onfarmmarket-4-3.jpg|Meme's Poultry and Quail Sales|21985 Koier Rd, Robertsdale, Alabama 36567|Robertsdale|Alabama|21985 Koier Rd|-87.564760|30.545974|36567||https://www.facebook.com/memespoultryandquailsales||||www.memespoultry.com||||Jul 27th, 2014
AL||Andy Millard|on-farm market|onfarmmarket|1000||700416|default-onfarmmarket-4-3.jpg|Mountain View Orchards|16045 County Road 29, Jemison, Alabama 35085|Jemison|Alabama|16045 County Road 29|-86.684533|32.966311|35085||||||www.mountainvieworchards.com||||Jul 27th, 2014
AL||George Brown|on-farm market|onfarmmarket|1000||700446|default-onfarmmarket-4-3.jpg|Oakachoy Nursery and Blueberry Farm|363 Coosa County Road 98, Equality, Alabama 36026|Equality|Alabama|363 Coosa County Road 98|-86.108406|32.761773|36026||||||www.facebook.com/OakachoyBlueberryFarm?fref=ts||||Jul 27th, 2014
AL||Sherry Johnson|on-farm market|onfarmmarket|1000||700071|default-onfarmmarket-4-3.jpg|SheerLark Farm|367 County Road 327, Flat Rock, Alabama 35966|Flat Rock|Alabama|367 County Road 327|-85.675347|34.7662994|35966||https://www.facebook.com/pages/SheerLark-Farm/341548307271||||http://sheerlarkfarm.com/||||Jul 29th, 2014
AL||darrell bagwell|on-farm market|onfarmmarket|1000||701262|default-onfarmmarket-4-3.jpg|Bagwell Blueberry farm|228 county road 721, Cullman , Alabama 35055|Cullman|Alabama|228 county road 721|-86.773041|34.160014|35055||bagwell blueberry farm||||||||Jun 24th, 2015
AL||Ken Barber|on-farm market|onfarmmarket|1000||700177|default-onfarmmarket-4-3.jpg|Barber Berry Farm, LLC|2362 Alabama River Parkway, Millbrook, Alabama 36054|Millbrook|Alabama|2362 Alabama River Parkway|-86.324675|32.435541|36054||http://www.facebook.com/barberberryfarmupick||||http://www.barberberryfarm.com||||Mar 23rd, 2015
